ID,Seed,Levels,Wall_ins_thickness,Roof_ins_thickness,Ground_ins_thickness,Wnd_density_south,Wnd_density_north,Wnd_density_west,Wnd_density_east,Window_Option,Shading,Exterior_Surface,Form_factor,Windows,Walls,Win north area,Win south area,Win west area,Win east area,Wall area,Roof area,Ground area,imgName,Total CO2,MaterialCO2,OperationCO2,CO2 End of Life,Climate-location,Construction-preset,C3C4 MaterialCO2,D Material CO2,img
19,15690,4,0.17,0.25,0.1,0.345053,0.180136,0.180374,0.337505,1,0,2729.893212,1.706183,393.369108,1502.825406,104.191722,199.580638,31.206017,58.390731,1109.456299,613.533903,613.533903,s15671i19d80.jpg,1167200,426699.666285,740461.216908,32880.861898,2,1,7414.32367,-58331.540514,ID19.png
20,15691,2,0.17,0.25,0.1,0.177902,0.180136,0.180374,0.337505,1,0,5391.361602,3.369601,254.373483,1236.258706,74.090122,73.171227,37.306522,69.805612,981.885223,2077.551448,2077.551448,s15671i20d12.jpg,1897100,619920.693916,1277200,55775.011359,2,1,12743.234025,-96709.924208,ID20.png
21,15692,4,0.17,0.25,0.1,0.177902,0.2585,0.284859,0.337505,1,0,3560.833562,2.225521,436.512537,1822.513194,181.571661,124.959271,59.493258,70.488347,1386.000657,869.160184,869.160184,s15671i21d88.jpg,1486700,532471.793652,954234.250336,43998.450354,2,1,9580.327139,-71768.920973,ID21.png
22,15693,2,0.17,0.25,0.1,0.360751,0.2585,0.284859,0.337505,1,0,3048.351462,1.90522,254.313698,819.629094,61.452138,85.759842,49.021015,58.080703,565.315396,1114.361184,1114.361184,s15671i22d14.jpg,604789.652692,63944.434178,540845.218514,15674.096007,1,3,168520.119679,-212742.538714,ID22.png
23,15694,4,0.17,0.25,0.1,0.360751,0.186864,0.189344,0.24199,1,0,2571.848405,1.607405,371.690107,1422.128346,104.429693,201.607374,28.819954,36.833087,1050.438239,574.860029,574.860029,s15671i23d92.jpg,615771.08819,-11606.435507,627377.523697,12318.92839,1,3,200421.637455,-231094.123436,ID23.png
24,15695,3,0.17,0.25,0.1,0.1936,0.186864,0.189344,0.24199,1,0,4693.124481,2.933203,295.248001,1462.18413,73.822098,80.490414,63.626018,77.309471,1166.936129,1615.470176,1615.470176,s15671i24d27.jpg,1010200,-44368.828826,1054600,23913.937419,1,3,326551.117749,-386243.434916,ID24.png
25,15696,4,0.17,0.25,0.1,0.1936,0.186864,0.189344,0.24199,1,0,2067.107863,1.291942,241.533054,1211.182987,72.287702,74.893507,41.417972,52.933873,969.649933,427.962438,427.962438,s15671i25d100.jpg,443406.931168,-6019.785772,449426.71694,10331.593635,1,3,168262.044096,-195019.434442,ID25.png
26,15697,3,0.17,0.25,0.1,0.376449,0.265228,0.293829,0.346475,1,0,2886.655255,1.80416,356.271946,1111.318822,92.975462,131.963991,60.2672,71.065293,755.046877,887.668216,887.668216,s15671i26d30.jpg,666869.57393,13939.503055,652930.070875,15146.784707,1,3,199566.835051,-240087.421145,ID26.png
27,15698,4,0.17,0.25,0.1,0.376449,0.265228,0.293829,0.346475,1,0,2959.14294,1.849464,525.320644,1637.986458,177.06415,251.314611,44.485684,52.456198,1112.665814,660.578241,660.578241,s15671i27d100.jpg,1344100,453824.097621,890295.669444,34653.691743,2,1,7693.235065,-59729.544505,ID27.png
28,15699,3,0.17,0.25,0.1,0.209297,0.193591,0.293829,0.346475,1,0,2704.928192,1.69058,272.567068,1141.88362,75.840895,81.993894,52.649523,62.082755,869.316552,781.522286,781.522286,s15671i28d33.jpg,1041000,396343.799863,644663.50615,32235.429652,2,1,7392.088035,-59655.689251,ID28.png
